,Symbol,Name,Last Price,Change,% Change,50 day Average,200 day Average,3 months Average,YTD return,52 Weeks Change%,
0,QSTFX,Quantified STF Investor,17.21+0.54(+3.24%),+0.54,+3.24%,17.67,15.75,-3.92%,-6.82%,-11.29%,13.0019.40
1,QSTAX,Quantified STF Advisor,16.20+0.50(+3.18%),+0.50,+3.18%,16.65,14.86,-4.03%,-7.32%,-11.57%,12.2818.32
2,UOPSX,ProFunds UltraNASDAQ-100 Fund,96.34+2.79(+2.98%),+2.79,+2.98%,98.67,84.21,+1.22%,+22.73%,+20.76%,50.18106.33
3,UOPIX,ProFunds UltraNASDAQ-100 Fund,142.28+4.12(+2.98%),+4.12,+2.98%,145.60,123.48,+1.47%,+23.89%,+22.74%,73.14156.84
4,RYVLX,Rydex NASDAQ-100 2x Strategy A,654.44+18.83(+2.96%),+18.83,+2.96%,715.87,600.21,+1.29%,+23.76%,+15.50%,351.96774.61
5,RYVYX,Rydex NASDAQ-100 2x Strategy H,654.19+18.82(+2.96%),+18.82,+2.96%,715.62,600.00,+1.29%,+23.76%,+15.50%,351.85774.34
6,RYCCX,Rydex NASDAQ-100 2x Strategy C,442.54+12.73(+2.96%),+12.73,+2.96%,499.30,419.95,+1.07%,+22.84%,+11.04%,247.01541.37
7,FELIX,Fidelity Advisor Semiconductors I,124.68+3.27(+2.69%),+3.27,+2.69%,127.11,102.37,+5.30%,+35.82%,+31.28%,62.03135.80
8,FELTX,Fidelity Advisor Semiconductors M,105.65+2.77(+2.69%),+2.77,+2.69%,107.76,86.90,+5.16%,+35.16%,+29.33%,52.75115.09
9,FIKGX,Fidelity Advisor Semiconductors Z,125.21+3.28(+2.69%),+3.28,+2.69%,127.64,102.77,+5.33%,+35.98%,+31.47%,62.25136.38
10,FELAX,Fidelity Advisor Semiconductors A,114.20+2.99(+2.69%),+2.99,+2.69%,116.46,93.85,+5.23%,+35.49%,+30.28%,56.92124.40
11,FELCX,Fidelity Advisor Semiconductors C,88.66+2.32(+2.69%),+2.32,+2.69%,90.48,73.05,+5.04%,+34.51%,+27.09%,44.4296.59
12,ATVPX,Alger 35 Z,19.11+0.50(+2.69%),+0.50,+2.69%,23.57,20.34,-3.37%,+27.36%,+6.17%,13.7824.86
13,DXQLX,Direxion Monthly NASDAQ-100 Bull 1.75X Fund,103.02+2.66(+2.65%),+2.66,+2.65%,116.68,100.28,+1.70%,+24.64%,+9.36%,61.71126.36
14,FSELX,Fidelity Select Semiconductors,43.50+1.12(+2.64%),+1.12,+2.64%,44.48,36.30,+4.59%,+33.79%,+29.77%,22.8847.41
15,ZVGIX,Zevenbergen Genea Institutional,58.27+1.40(+2.46%),+1.40,+2.46%,61.07,55.48,-7.78%,+12.66%,+11.44%,38.2166.60
16,ZVGNX,Zevenbergen Genea Investor,56.64+1.36(+2.46%),+1.36,+2.46%,59.37,54.00,-7.85%,+12.31%,+11.08%,37.2264.76
17,MGLBX,Marsico Global,31.95+0.71(+2.27%),+0.71,+2.27%,31.97,29.90,-2.98%,+22.13%,+22.88%,22.5033.22
18,ALCFX,Alger Focus Equity C,88.55+1.94(+2.24%),+1.94,+2.24%,97.79,83.63,-2.01%,+33.71%,+23.45%,56.19102.94
19,ALAFX,Alger Focus Equity A,100.58+2.20(+2.24%),+2.20,+2.24%,109.91,93.77,-1.83%,+34.71%,+25.68%,62.83115.61
20,ALZFX,Alger Focus Equity Z,105.64+2.31(+2.24%),+2.31,+2.24%,115.00,98.02,-1.74%,+35.11%,+26.53%,65.61120.92
21,ALGRX,Alger Focus Equity I,101.54+2.22(+2.24%),+2.22,+2.24%,110.87,94.58,-1.81%,+34.74%,+25.81%,63.37116.61
22,ALGYX,Alger Focus Equity Y,106.13+2.32(+2.23%),+2.32,+2.23%,115.48,98.43,-1.72%,+35.17%,+26.62%,65.87121.43
23,CYPIX,ProFunds Consumer Disctnry Ultra Sec Inv,80.52+1.75(+2.22%),+1.75,+2.22%,76.74,70.40,-1.50%,+5.75%,+5.27%,51.1880.52
24,CYPSX,ProFunds Consumer Disctnry Ultra Sec Svc,63.42+1.37(+2.21%),+1.37,+2.21%,60.50,55.66,-1.74%,+4.74%,+4.29%,40.6063.44
