,Symbol,Name, ,Price,Change,% Change,Market Cap,Volume ,Volume in currency( 24 hr),Volume in all currencies(in 24 hr),Circulating Supply,52 Weeks Change%, 
0,SSEAGULL-USD,SEAGULL SAM USD,,"0.30+0.30(+634,591.60%)",+0.30,"+634,591.60%",0,"43,141","43,141","43,141",0,-99.55%,0.000.03
1,DDOGO29570-USD,DOGO USD,,"0.00+0.00(+1,703.65%)",+0.00,"+1,703.65%",0,"194,618","194,618","194,618",0,+500.00%,0.000.00
2,GGMRT-USD,The Game Company USD,,"0.01+0.01(+1,388.25%)",+0.01,"+1,388.25%",3.591M,"15,889","15,889","15,889",301.559M,-83.32%,0.000.05
3,FFELIS-USD,Felis USD,,"0.00+0.00(+1,042.67%)",+0.00,"+1,042.67%",0,"152,511","152,511","152,511",0,-66.67%,0.000.00
4,RRFOX-USD,RFOX USD,,0.00+0.00(+854.76%),+0.00,+854.76%,"264,853",8.647M,8.647M,8.647M,1.312B,-77.88%,0.000.00
5,AAI16Z-USD,ai16z USD,,0.01+0.01(+666.33%),+0.01,+666.33%,0,2.641M,2.641M,2.641M,0,-99.88%,0.002.48
6,PPEOPLE32079-USD,MAGA USD,,0.00+0.00(+554.69%),+0.00,+554.69%,0,"134,596","134,596","134,596",0,-96.41%,0.000.12
7,MMOODENG33647-USD,Moo Deng (moodeng.sbs) USD,,0.00+0.00(+499.43%),+0.00,+499.43%,0,"113,185","113,185","113,185",0,-99.50%,0.000.00
8,TTRUMP31874-USD,PEPE USD,,0.00+0.00(+486.27%),+0.00,+486.27%,0,"302,809","302,809","302,809",0,-97.48%,0.000.00
9,CCAT32486-USD,NOT USD,,0.04+0.03(+481.25%),+0.03,+481.25%,0,"276,787","276,787","276,787",0,"+2,058.09%",0.000.90
10,TTRUMP32865-USD,TRUMP AI USD,,0.00+0.00(+477.53%),+0.00,+477.53%,0,"338,802","338,802","338,802",0,-27.10%,0.000.37
11,GGME32488-USD,GameStop Coin USD,,0.00+0.00(+477.01%),+0.00,+477.01%,0,"352,094","352,094","352,094",0,+38.46%,0.000.44
12,BBEER32150-USD,Beers USD,,0.01+0.01(+455.06%),+0.01,+455.06%,0,"325,314","325,314","325,314",0,"+52,800.00%",0.001.15
13,PPENGU38135-USD,PENGU AI USD,,0.22+0.18(+448.73%),+0.18,+448.73%,0,"157,340","157,340","157,340",0,--,0.00303.86
14,MMAGA32751-USD,TRUMP MAGA (trumpmaga.me) USD,,0.01+0.01(+432.21%),+0.01,+432.21%,0,"227,384","227,384","227,384",0,"+2,681.11%","0.004,243,702.50"
15,DDOGS32713-USD,HARRIS DOGS USD,,0.01+0.01(+405.01%),+0.01,+405.01%,0,"320,816","320,816","320,816",0,"+2,489.86%",0.000.12
16,TTURBO33724-USD,Turbo Trump USD,,0.02+0.01(+350.52%),+0.01,+350.52%,0,"130,520","130,520","130,520",0,"+432,200.00%","0.007,500,205.50"
17,DDG8833-USD,DeGate USD,,0.05+0.04(+328.26%),+0.04,+328.26%,0,"15,112","15,112","15,112",0,-91.15%,0.000.13
18,TTRUMP36286-USD,PEPE TRUMP (pepetrump.cc) USD,,0.00+0.00(+326.68%),+0.00,+326.68%,0,"319,422","319,422","319,422",0,--,0.000.00
19,TTST35796-USD,[Fake] Test (testtoken.me) USD,,0.00+0.00(+323.02%),+0.00,+323.02%,0,"68,305","68,305","68,305",0,-93.95%,0.000.00
20,BBASE38263-USD,Base AI USD,,0.00+0.00(+303.72%),+0.00,+303.72%,0,"321,118","321,118","321,118",0,-79.10%,0.000.00
21,CCHARLIE-USD,Charlie Kirk USD,,0.00+0.00(+300.18%),+0.00,+300.18%,0,"340,149","340,149","340,149",0,-19.29%,0.000.00
22,LLABUBU37563-USD,LABUBU (labubu.farm) USD,,0.01+0.00(+291.63%),+0.00,+291.63%,0,"160,919","160,919","160,919",0,+508.88%,0.000.03
23,GGROK36159-USD,TRUMP GROK (trumpgrok.org) USD,,0.00+0.00(+280.46%),+0.00,+280.46%,0,"592,943","592,943","592,943",0,"+1,566.67%",0.000.00
24,FFISH2-USD,FISH2 USD,,0.00+0.00(+279.00%),+0.00,+279.00%,0,"316,836","316,836","316,836",0,+71.96%,0.000.02
