,Symbol,Name,Last Price,Change,% Change,50 Days Average,200 Days Average ,3 Months Average,YTD return,52 Weeks Change%,
0,GNXIX,AlphaCentric Robotics and Automation I,18.07+0.78(+4.51%),+0.78,+4.51%,19.22,16.44,-7.18%,+17.67%,+23.68%,11.1822.08
1,GNXCX,AlphaCentric Robotics and Automation C,16.46+0.71(+4.51%),+0.71,+4.51%,17.55,15.04,-7.39%,+16.47%,+22.29%,10.2720.18
2,GNXAX,AlphaCentric Robotics and Automation A,17.64+0.76(+4.50%),+0.76,+4.50%,18.78,16.07,-7.24%,+17.35%,+23.36%,10.9421.58
3,BIPIX,ProFunds Biotechnology UltraSector Fund,68.51+2.78(+4.23%),+2.78,+4.23%,61.82,46.33,+36.57%,+44.02%,+8.90%,30.4768.81
4,BIPSX,ProFunds Biotechnology UltraSector Fund,35.40+1.43(+4.21%),+1.43,+4.21%,31.98,24.01,+36.21%,+42.61%,-10.01%,15.8638.23
5,FELTX,Fidelity Advisor Semiconductors M,109.02+3.37(+3.19%),+3.37,+3.19%,107.81,87.12,+5.02%,+38.79%,+29.42%,52.75115.09
6,FELAX,Fidelity Advisor Semiconductors A,117.84+3.64(+3.19%),+3.64,+3.19%,116.50,94.08,+5.09%,+39.13%,+30.37%,56.92124.40
7,FIKGX,Fidelity Advisor Semiconductors Z,129.20+3.99(+3.19%),+3.99,+3.19%,127.69,103.02,+5.18%,+39.63%,+31.54%,62.25136.38
8,FELIX,Fidelity Advisor Semiconductors I,128.65+3.97(+3.18%),+3.97,+3.18%,127.16,102.63,+5.16%,+39.48%,+31.37%,62.03135.80
9,FELCX,Fidelity Advisor Semiconductors C,91.48+2.82(+3.18%),+2.82,+3.18%,90.51,73.23,+4.89%,+38.12%,+27.16%,44.4296.59
10,FSDAX,Fidelity Select Defense & Aerospace,26.33+0.73(+2.85%),+0.73,+2.85%,25.32,23.10,+2.15%,+45.60%,+35.65%,17.1426.58
11,DMCRX,Driehaus Micro Cap Growth Fund,16.17+0.44(+2.80%),+0.44,+2.80%,17.84,14.52,+9.86%,+28.43%,+14.19%,9.9619.21
12,LAMGX,Lord Abbett Micro Cap Growth A,19.89+0.53(+2.74%),+0.53,+2.74%,19.64,17.24,+17.56%,+27.10%,+11.87%,12.9320.45
13,NPSGX,Nicholas Partners Small Cap Gr Instl,18.05+0.48(+2.73%),+0.48,+2.73%,18.47,16.21,+1.46%,+15.79%,+12.04%,12.3119.41
14,LCMGX,Lord Abbett Micro Cap Growth Fund,23.40+0.62(+2.72%),+0.62,+2.72%,23.12,20.34,+17.56%,+27.10%,+11.06%,15.3024.06
15,RYSIX,Rydex Electronics Inv,570.53+15.11(+2.72%),+15.11,+2.72%,583.52,472.78,+6.99%,+37.86%,+33.25%,293.85622.92
16,RYSAX,Rydex Electronics H,497.14+13.16(+2.72%),+13.16,+2.72%,510.79,414.22,+6.92%,+37.52%,+32.30%,257.71545.38
17,RYELX,Rydex Electronics A,514.01+13.60(+2.72%),+13.60,+2.72%,527.54,427.78,+6.92%,+37.53%,+32.45%,266.14563.22
18,RYSCX,Rydex Electronics C,425.09+11.23(+2.71%),+11.23,+2.71%,439.57,357.26,+6.72%,+36.54%,+30.51%,222.89469.32
19,DNSMX,Driehaus Small Cap Growth Institutional,27.66+0.73(+2.71%),+0.73,+2.71%,27.17,23.24,+4.44%,+15.70%,+16.46%,17.0428.91
20,LFMGX,Lord Abbett Micro Cap Growth F,24.68+0.65(+2.70%),+0.65,+2.70%,24.37,21.38,+17.56%,+27.10%,+12.13%,16.0225.38
21,LMIYX,Lord Abbett Micro Cap Growth I,24.68+0.65(+2.70%),+0.65,+2.70%,24.36,21.37,+2.13%,+10.29%,+12.13%,16.0225.37
22,DVSMX,Driehaus Small Cap Growth Investor,27.11+0.71(+2.69%),+0.71,+2.69%,26.58,22.75,+4.36%,+15.48%,+16.45%,16.6928.27
23,ZVGIX,Zevenbergen Genea Institutional,59.82+1.55(+2.66%),+1.55,+2.66%,60.99,55.56,-6.87%,+15.43%,+14.23%,38.2166.60
24,ZVGNX,Zevenbergen Genea Investor,58.14+1.50(+2.65%),+1.50,+2.65%,59.29,54.07,-6.95%,+15.08%,+13.84%,37.2264.76
